text_original,text_cleaned,sentiment,source
"Gk muluk muluk, 100,000 lot saham BBCA aja",tidak muluk muluk 100 00 lot saham bbca saja,Positive,Twitter (IDSMSA)
"BCA Expoversary 2024 menawarkan promo suku bunga spesial mulai dari 2,67% untuk KPR maupun KKB. [URL] [HASHTAG] [HASHTAG] [HASHTAG]",bca expoversary 2024 menawarkan promo suku bunga spesial mulai dari 2 67 untuk kpr maupun kkb,Neutral,Twitter (IDSMSA)
[USERNAME] saham bca nya menyusul ya 🙂,saham bca nya menyusul ya,Positive,Twitter (IDSMSA)
PT Bank BCA Syariah (BCA Syariah) turut memeriahkan BCA Expoversary 2024 dengan menawarkan beragam solusi pembiayaan syariah. [URL] [HASHTAG] [HASHTAG] [HASHTAG],pt bank bca syariah bca syariah turut memeriahkan bca expoversary 2024 dengan menawarkan beragam solusi pembiayaan syariah,Neutral,Twitter (IDSMSA)
"[USERNAME] Begitu byk saham kamu memilih saham itu kalau uangnya gede bisa nyicil big banks nder kalau koreksi lagi Big banks itu BBNI, BBRI, BBCA, BMRI",begitu banyak saham kamu memilih saham itu kalau uangnya gede bisa nyicil big banks nder kalau koreksi lagi big banks itu bbni bbri bbca bmri,Positive,Twitter (IDSMSA)
"[USERNAME] Drpd bunga mending hal² yg berguna, yaaa minimal kek saham BCA satu slot, atau saham GG satu slot ehehehehhehe 😗",daripada bunga mending hal yang berguna yaa minimal seperti saham bca satu slot atau saham gg satu slot,Positive,Twitter (IDSMSA)
"[USERNAME] [USERNAME] Pilihan RDN di Mirae Asset ada banyak ya mas. Tapi, untuk tarik dana bisa pake bank apa saja. Misalnya masnya pake rekening Blu ya mungkin nanti pas pembukaan akun bisa pake BCA untuk RDN.",pilihan rdn di mirae asset ada banyak ya mas tapi untuk tarik dana bisa pake bank apa saja misalnya masnya pake rekening blu ya mungkin nanti pas pembukaan akun bisa pake bca untuk rdn,Neutral,Twitter (IDSMSA)
[USERNAME] [USERNAME] pak buat sekuritas mirae apakah bisa pakai akun blu by bca?,pak buat sekuritas mirae apakah bisa pakai akun blu by bca,Neutral,Twitter (IDSMSA)
"[USERNAME] Bbca, soalnya stabil",bbca soalnya stabil,Positive,Twitter (IDSMSA)
Menggelar pameran masih menjadi salah satu strategi andalan perbankan untuk mendorong penyaluran kredit konsumer. Seperti yang dilakukan PT Bank Central Asia Tbk (BCA) dan PT Bank Mega Tbk yang awal tahun ini sudah… [URL] [HASHTAG] [HASHTAG] [HASHTAG],menggelar pameran masih menjadi salah satu strategi andalan perbankan untuk mendorong penyaluran kredit konsumer seperti yang dilakukan pt bank central asia tbk bca dan pt bank mega tbk yang awal tahun ini sudah,Neutral,Twitter (IDSMSA)
"[USERNAME] Jodoh dateng, duit 10M, sama saham (bca, bri, dll). Bismillah soon punya Aamiin",jodoh dateng duit 10m sama saham bca bri dll bismillah soon punya aamiin,Positive,Twitter (IDSMSA)
"Indeks Bisnis-27 Melemah Tertekan Saham BBRI, BBCA, MAPI [URL]",indeks bisnis-27 melemah tertekan saham bbri bbca mapi,Negative,Twitter (IDSMSA)
[USERNAME] Bbca tahun 2020 karna yakin wkwkkw,bbca tahun 2020 karena yakin wkwkkw,Positive,Twitter (IDSMSA)
"[USERNAME] 2020 pas pandemi. Bbri, dikasih modal papa suruh ambil bca. Tapi kok mahal banget😭",2020 pas pandemi bbri dikasih modal papa suruh ambil bca tapi kok mahal banget,Negative,Twitter (IDSMSA)
"[USERNAME] bbca, tapi dah dijual. bismillah taun ini kebeli lagi bbrp slot 😇",bbca tapi dah dijual bismillah taun ini kebeli lagi beberapa slot,Positive,Twitter (IDSMSA)
"trs aku ngimpi, di mimpiku ada yg bilang 'minimal tuh punya 8lot saham bbca' APAAN DEH😭😭🤣🤣🤣🤣🤣",terus aku ngimpi di mimpiku ada yang bilang minimal tuh punya 8lot saham bbca apaan deh,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] doakan suatu saat punya tu bbca,doakan suatu saat punya tu bbca,Positive,Twitter (IDSMSA)
"[USERNAME] Taruh di Mandiri 1 lot, BCA 1 lot udah habis tuh tidurrr buka lagi tahun depan",taruh di mandiri 1 lot bca 1 lot sudah habis tuh tidurr buka lagi tahun depan,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] 10 juta aja mau beli 90% saham BCA 🗿,10 juta saja mau beli 90 saham bca,Positive,Twitter (IDSMSA)
Pengen punya saham BBCA 100 lot aja ya Allah wkwkwk,pengen punya saham bbca 100 lot saja ya allah,Positive,Twitter (IDSMSA)
"komposisi investasi saya: - big 3 kripto (btc, eth, sol) - tech giant - saham as (aapl, msft, intc, nvda, adbe - saham bluechip bank indo (bca, bri, bni, mand) - obligasi (buat support negara/nasionalisme)",komposisi investasi saya - big 3 kripto btc eth sol - tech giant - saham as aapl msft intc nvda adbe - saham bluechip bank indo bca bri bni mand - obligasi buat support negara nasionalisme,Neutral,Twitter (IDSMSA)
